;"MeanDecreaseGini"
"fBodyAccJerk.bandsEnergy...1.24.2";3.289680459
"fBodyAccJerk.bandsEnergy...17.24";3.2299443388
"fBodyAccJerk.bandsEnergy...1.16.2";3.2066945533
"tBodyGyroJerk.entropy...X";3.1781142885
"fBodyAcc.kurtosis...Y";3.1421866302
"fBodyGyro.kurtosis...Z";3.1096551843
"fBodyGyro.max...Y";3.1043473572
"fBodyBodyAccJerkMag.entropy..";3.1037985346
"fBodyGyro.iqr...Z";3.0736627402
"fBodyAccJerk.bandsEnergy...33.48.1";3.055268056
"fBodyGyro.energy...Z";3.0514338681
"fBodyGyro.bandsEnergy...17.24";3.0138878477
"tBodyAccMag.sma..";3.0060064665
"fBodyAcc.bandsEnergy...17.32";2.9872786927
"fBodyAccJerk.bandsEnergy...17.32.2";2.9822206921
"fBodyGyro.bandsEnergy...1.24.2";2.9777575694
"tBodyAccJerk.mad...Z";2.9733947739
"tBodyAccMag.iqr..";2.966222445
"fBodyBodyGyroJerkMag.std..";2.9440020985
"fBodyAcc.std...Y";2.9437075839
"fBodyGyro.energy...Y";2.9414705812
"fBodyBodyAccJerkMag.mean..";2.9315603085
"fBodyAccJerk.bandsEnergy...41.48";2.9302671171
"fBodyGyro.skewness...Z";2.9198271383
"angle.tBodyGyroMean.gravityMean.";2.9154848851
"fBodyBodyGyroJerkMag.skewness..";2.9139034478
"fBodyGyro.kurtosis...X";2.9087872894
"fBodyAcc.bandsEnergy...1.16.2";2.8891990998
"tGravityAccMag.mean..";2.8681062141
"tBodyAccJerk.min...X";2.8634405805
"fBodyAcc.max...Z";2.8412075889
"fBodyGyro.skewness...Y";2.8403076141
"tBodyAcc.energy...Y";2.8362559275
"fBodyAcc.sma..";2.8358951029
"fBodyGyro.kurtosis...Y";2.8356861602
"tBodyGyro.mad...Y";2.8274217785
"fBodyGyro.std...Z";2.8227347922
"fBodyAccJerk.bandsEnergy...9.16";2.8064068834
"fBodyAccJerk.iqr...Z";2.7962571052
"fBodyBodyAccJerkMag.energy..";2.7947791674
"fBodyAccJerk.bandsEnergy...25.48.1";2.7920397684
